Tax Year,Login Date,Completed_Product,Marketing_Channel,CUSTOMER_TYPE,Login_Flag,Completed,Session_Count,Price
TY13,12/31/2013,(null),Paid Search,(null),1,0,(null),(null)
TY13,12/31/2013,Premier,Organic Search,New,1,1,0,$59.99
TY13,1/2/2014,Deluxe,Organic Search,New,1,1,0,$39.99
TY13,1/2/2014,Free,Non-Campaign,New,1,1,0,$0.00
TY13,1/4/2014,Premier,Non-Campaign,New,1,1,0,$59.99
TY13,1/5/2014,(null),Non-Campaign,(null),1,0,0,(null)
TY13,1/5/2014,Deluxe,Organic Search,Veteran,1,1,0,$39.99
TY13,1/7/2014,(null),Paid Search,(null),1,0,0,(null)
TY13,1/8/2014,(null),Organic Search,(null),1,0,0,(null)
TY13,1/10/2014,(null),Organic Search,(null),1,0,(null),(null)
TY13,1/10/2014,H & B,Non-Campaign,Veteran,1,1,0,$99.99
TY13,1/12/2014,(null),Organic Search,(null),1,0,0,(null)
TY13,1/14/2014,Free,FI Channel,Veteran,1,1,0,$0.00
TY13,1/14/2014,Free,Organic Search,Veteran,1,1,0,$0.00
TY13,1/15/2014,Free,Organic Search,Veteran,1,1,0,$0.00
TY13,1/15/2014,Free,Affiliate,New,1,1,0,$0.00
TY13,1/17/2014,Free,Non-Campaign,New,1,1,1,$0.00
TY13,1/17/2014,Free,Paid Search,New,1,1,0,$0.00
TY13,1/18/2014,Deluxe,DR,New,1,1,0,$39.99
TY13,1/18/2014,Free,Paid Search,Veteran,1,1,0,$0.00
TY13,1/18/2014,Free,DR,Veteran,1,1,1,$0.00
TY13,1/19/2014,(null),Paid Search,(null),1,0,0,(null)
TY13,1/19/2014,(null),Non-Campaign,(null),1,0,(null),(null)
TY13,1/20/2014,(null),Non-Campaign,(null),1,0,1,(null)
TY13,1/20/2014,Deluxe,Paid Search,Veteran,1,1,0,$39.99
TY13,1/21/2014,(null),Paid Search,(null),1,0,0,(null)
TY13,1/21/2014,Deluxe,Paid Search,Veteran,1,1,0,$39.99
TY13,1/21/2014,Free,DR,Veteran,1,1,2,$0.00
TY13,1/21/2014,Free,Non-Campaign,Veteran,1,1,2,$0.00
TY13,1/21/2014,Free,Non-Campaign,New,1,1,3,$0.00
TY13,1/21/2014,Free,Paid Search,New,1,1,2,$0.00
TY13,1/22/2014,Deluxe,DR,New,1,1,1,$39.99
TY13,1/22/2014,Free,Non-Campaign,Veteran,1,1,0,$0.00
TY13,1/22/2014,Free,Non-Campaign,Veteran,1,1,2,$0.00
TY13,1/23/2014,(null),Organic Search,(null),1,0,(null),(null)
TY13,1/23/2014,(null),Non-Campaign,(null),1,0,0,(null)
TY13,1/23/2014,Deluxe,Non-Campaign,Veteran,1,1,1,$39.99
TY13,1/23/2014,Deluxe,FI Channel,Veteran,1,1,11,$39.99
TY13,1/23/2014,Free,Organic Search,Veteran,1,1,0,$0.00
TY13,1/23/2014,Free,Non-Campaign,Veteran,1,1,2,$0.00
TY13,1/23/2014,Free,Paid Search,Veteran,1,1,2,$0.00
TY13,1/24/2014,(null),Organic Search,(null),1,0,(null),(null)
TY13,1/24/2014,(null),Organic Search,(null),1,0,0,(null)
TY13,1/24/2014,(null),Paid Search,(null),1,0,0,(null)
TY13,1/24/2014,(null),Non-Campaign,(null),1,0,1,(null)
TY13,1/24/2014,(null),Non-Campaign,(null),1,0,0,(null)
TY13,1/24/2014,Free,Affiliate,Veteran,1,1,3,$0.00
TY13,1/24/2014,Free,Paid Search,Veteran,1,1,0,$0.00
TY13,1/24/2014,Free,Display,Veteran,1,1,0,$0.00
TY13,1/25/2014,(null),Organic Search,(null),1,0,0,(null)
TY13,1/25/2014,(null),Non-Campaign,(null),1,0,0,(null)
TY13,1/25/2014,Free,Display,Veteran,1,1,2,$0.00
TY13,1/25/2014,Free,Non-Campaign,Veteran,1,1,2,$0.00
TY13,1/25/2014,Free,Non-Campaign,Veteran,1,1,2,$0.00
TY13,1/26/2014,(null),Paid Search,(null),1,0,0,(null)
TY13,1/26/2014,(null),DR,(null),1,0,1,(null)
TY13,1/26/2014,(null),Non-Campaign,(null),1,0,0,(null)
TY13,1/26/2014,Deluxe,Organic Search,Veteran,1,1,2,$39.99
TY13,1/26/2014,Deluxe,Non-Campaign,Veteran,1,1,0,$39.99
TY13,1/26/2014,Free,Paid Search,Veteran,1,1,3,$0.00
TY13,1/26/2014,Free,FI Channel,Veteran,1,1,1,$0.00
TY13,1/27/2014,(null),Organic Search,(null),1,0,0,(null)
TY13,1/27/2014,(null),Paid Search,(null),1,0,0,(null)
TY13,1/27/2014,(null),Non-Campaign,(null),1,0,0,(null)
TY13,1/27/2014,(null),Non-Campaign,(null),1,0,0,(null)
TY13,1/27/2014,(null),Paid Search,(null),1,0,1,(null)
TY13,1/27/2014,Deluxe,Paid Search,Veteran,1,1,2,$39.99
TY13,1/27/2014,Free,Paid Search,Veteran,1,1,2,$0.00
TY13,1/27/2014,Free,Paid Search,Veteran,1,1,0,$0.00
TY13,1/27/2014,Free,Paid Search,Veteran,1,1,3,$0.00
TY13,1/27/2014,Free,DR,Veteran,1,1,1,$0.00
TY13,1/28/2014,(null),Non-Campaign,(null),1,0,1,(null)
TY13,1/28/2014,Deluxe,Organic Search,Veteran,1,1,0,$39.99
TY13,1/28/2014,Free,Organic Search,Veteran,1,1,4,$0.00
TY13,1/28/2014,Free,Organic Search,Veteran,1,1,2,$0.00
TY13,1/28/2014,Free,DR,Veteran,1,1,0,$0.00
TY13,1/29/2014,(null),Organic Search,(null),1,0,0,(null)
TY13,1/29/2014,Deluxe,DR,Veteran,1,1,0,$39.99
TY13,1/29/2014,Deluxe,Organic Search,Veteran,1,1,1,$39.99
TY13,1/29/2014,Deluxe,Non-Campaign,New,1,1,0,$39.99
TY13,1/29/2014,Free,DR,New,1,1,2,$0.00
TY13,1/29/2014,Free,Non-Campaign,New,1,1,0,$0.00
TY13,1/29/2014,Free,Non-Campaign,New,1,1,1,$0.00
TY13,1/29/2014,Free,Affiliate,New,1,1,1,$0.00
TY13,1/29/2014,Free,Paid Search,Veteran,1,1,2,$0.00
TY13,1/29/2014,Free,Non-Campaign,Veteran,1,1,2,$0.00
TY13,1/29/2014,Free,Paid Search,Veteran,1,1,3,$0.00
TY13,1/30/2014,(null),Non-Campaign,(null),1,0,0,(null)
TY13,1/30/2014,(null),Non-Campaign,(null),1,0,0,(null)
TY13,1/30/2014,(null),Non-Campaign,(null),1,0,0,(null)
TY13,1/30/2014,(null),Non-Campaign,(null),1,0,(null),(null)
TY13,1/30/2014,Deluxe,Non-Campaign,Veteran,1,1,2,$39.99
TY13,1/30/2014,Deluxe,Paid Search,Veteran,1,1,0,$39.99
TY13,1/30/2014,Free,FI Channel,Veteran,1,1,0,$0.00
TY13,1/30/2014,Free,FI Channel,Veteran,1,1,0,$0.00
TY13,1/30/2014,Free,Paid Search,Veteran,1,1,0,$0.00
TY13,1/30/2014,Free,Organic Search,Veteran,1,1,10,$0.00
TY13,1/30/2014,Free,Organic Search,Veteran,1,1,2,$0.00
TY13,1/30/2014,Free,Paid Search,Veteran,1,1,3,$0.00
TY13,1/30/2014,Free,DR,Veteran,1,1,0,$0.00
TY13,1/30/2014,H & B,Paid Search,Veteran,1,1,0,$99.99
TY13,1/31/2014,(null),Non-Campaign,(null),1,0,0,(null)
TY13,1/31/2014,(null),Non-Campaign,(null),1,0,1,(null)
TY13,1/31/2014,(null),Organic Search,(null),1,0,0,(null)
TY13,1/31/2014,(null),Organic Search,(null),1,0,0,(null)
TY13,1/31/2014,(null),Organic Search,(null),1,0,0,(null)
TY13,1/31/2014,(null),Paid Search,(null),1,0,1,(null)
TY13,1/31/2014,(null),DR,(null),1,0,3,(null)
TY13,1/31/2014,Deluxe,DR,Veteran,1,1,2,$39.99
TY13,1/31/2014,Deluxe,DR,Veteran,1,1,1,$39.99
TY13,1/31/2014,Deluxe,DR,Veteran,1,1,1,$39.99
TY13,1/31/2014,Deluxe,Non-Campaign,Veteran,1,1,0,$39.99
TY13,1/31/2014,Free,Paid Search,Veteran,1,1,0,$0.00
TY13,1/31/2014,Free,Non-Campaign,Veteran,1,1,1,$0.00
TY13,1/31/2014,H & B,Non-Campaign,Veteran,1,1,0,$99.99
TY13,2/1/2014,(null),Paid Search,(null),1,0,0,(null)
TY13,2/1/2014,(null),Non-Campaign,(null),1,0,0,(null)
TY13,2/1/2014,(null),Non-Campaign,(null),1,0,0,(null)
TY13,2/1/2014,Deluxe,DR,Veteran,1,1,1,$39.99
TY13,2/1/2014,Deluxe,Organic Search,Veteran,1,1,2,$39.99
